  9809     SAGA-LS   BL11
 20190219_09_K2  19.02.19 18:47 - 19.02.19 19:16
 S-K ROI 215-255ch, CEY 400V
 Ring :   1.4 GeV   204.1 mA -  193.0 mA
 Mono :   SI(111)       D=  3.13551 A    Initial angle= 53.80180 deg
 BL11      Transmission( 2)   Repetition=  1     Points=475
 Param file : --              energy axis(2)     Block =    3

 Block      Init-Eng  final-Eng      Step/eV     Time/s       Num
     1        2440.00   2442.00         0.50       3.00         4
     2        2442.00   2532.96         0.20       3.00       450
     3        2532.96   2540.00         0.35       3.00        21
 CAMAC( 1)     NDCH = 9
  Angle(c)  Angle(o)    time/s         1         2         3         1         2         3         1         2         3
      Mode         0         0         3         1         4       103       101       104         5         5         5
    Offset         0         0     0.000191361.400230259.300     0.000     0.000     0.000     0.000     0.000     0.000
  52.68709  52.68770      3.00    107455   9565371  17890049    118732         0         0   2965206         0         0
  52.68098  52.68160      3.00    106142   9583424  17839943    117379         0         0   2965077         0         0
  52.67487  52.67550      3.00    104932   9581412  17790156    115894         0         0   2965657         0         0
  52.66876  52.66940      3.00    105486   9565129  17814149    116625         0         0   2964932         0         0
  52.66265  52.66330      3.00    107995   9581427  17931634    119245         0         0   2964532         0         0
  52.65655  52.65720      3.00    110404   9589679  18071509    122127         0         0   2963846         0         0
  52.65045  52.65110      3.00    112362   9597656  18174237    124451         0         0   2962803         0         0
  52.64434  52.64490      3.00    112685   9613847  18238578    124821         0         0   2962566         0         0
  52.63825  52.63890      3.00    111838   9607223  18223831    123824         0         0   2963146         0         0
  52.63215  52.63280      3.00    108977   9617410  18091385    120805         0         0   2964098         0         0
  52.62605  52.62660      3.00    104674   9621768  17901111    115752         0         0   2965310         0         0
  52.61996  52.62050      3.00     99709   9630188  17685902    110002         0         0   2966884         0         0
  52.61387  52.61440      3.00     93747   9622876  17463754    103349         0         0   2968877         0         0
  52.60778  52.60830      3.00     88978   9652832  17300266     98115         0         0   2970625         0         0
  52.60169  52.60230      3.00     85180   9679261  17189721     93830         0         0   2972446         0         0
  52.59560  52.59610      3.00     80277   9692466  17069650     88455         0         0   2972935         0         0
  52.58952  52.59010      3.00     77653   9687486  16965470     85624         0         0   2973788         0         0
  52.58344  52.58400      3.00     75231   9680564  16897308     82882         0         0   2975213         0         0
  52.57736  52.57790      3.00     73895   9683464  16851000     81275         0         0   2975794         0         0
  52.57128  52.57180      3.00     72170   9648804  16744849     79492         0         0   2975408         0         0
  52.56520  52.56560      3.00     71008   9611437  16687092     78183         0         0   2975973         0         0
  52.55913  52.55960      3.00     70747   9614018  16667486     77793         0         0   2975884         0         0
  52.55305  52.55350      3.00     71522   9649073  16748076     78731         0         0   2975639         0         0
  52.54698  52.54740      3.00     72688   9682042  16844602     80119         0         0   2976040         0         0
  52.54091  52.54140      3.00     75177   9695022  16924077     82712         0         0   2975565         0         0
  52.53484  52.53520      3.00     78552   9717327  17059925     86645         0         0   2973324         0         0
  52.52878  52.52920      3.00     82843   9730281  17209034     91204         0         0   2972663         0         0
  52.52271  52.52320      3.00     86749   9764827  17386023     95779         0         0   2971095         0         0
  52.51665  52.51700      3.00     91251   9776893  17581456    100745         0         0   2969450         0         0
  52.51059  52.51100      3.00     96082   9786418  17774400    106037         0         0   2969552         0         0
  52.50453  52.50490      3.00    100938   9773790  17937932    111604         0         0   2967020         0         0
  52.49847  52.49890      3.00    104823   9770096  18095500    115941         0         0   2965134         0         0
  52.49242  52.49280      3.00    108265   9776520  18229788    119796         0         0   2964672         0         0
  52.48637  52.48660      3.00    110995   9789044  18327411    122820         0         0   2963890         0         0
  52.48032  52.48070      3.00    111944   9804363  18409963    123860         0         0   2962951         0         0
  52.47427  52.47460      3.00    114124   9812751  18508223    126405         0         0   2962561         0         0
  52.46822  52.46860      3.00    115624   9827324  18596562    128263         0         0   2961862         0         0
