   9809     AichiSR  BL5S1
 200911-Y2O3-1   20.09.11 09:12 - 20.09.11 09:13
                                                                                 
 Ring :   1.2 GeV   301.8 mA -  301.4 mA
 Mono :   Si(111)       D=  3.13553 A    Initial angle=  6.67855 deg
 BL5S1    Transmission ( 2)   Repetition=  1     Points= 3783
 Param file : DUMMYNAME.prm   energy axis (2)    Block =     1

 Block      Init-Eng  final-Eng     Step/eV     Time/s       Num
     1       16740.16  18140.16        0.37       0.01      3785
 ORTEC( 0)     NDCH = 4
  Angle(c)  Angle(o)    time/s         1         2         3
      Mode         0         0         1         2         2
    Offset         0         0  5552.300  9521.500  8214.200
   6.74742   6.74765    0.0143  22284248  10804879  50678386
   6.74728   6.74752    0.0143  22278048  10800379  50643286
   6.74714   6.74738    0.0143  22291948  10805779  50692786
   6.74700   6.74724    0.0143  22284948  10801779  50662086
   6.74686   6.74711    0.0143  22322848  10820879  50740886
   6.74672   6.74697    0.0143  22286248  10805079  50691886
   6.74658   6.74683    0.0143  22313148  10817379  50747686
   6.74644   6.74669    0.0143  22297648  10807679  50718986
   6.74631   6.74656    0.0143  22300748  10810379  50729286
   6.74617   6.74641    0.0143  22301748  10813679  50741986
   6.74603   6.74627    0.0143  22308648  10816679  50762286
   6.74589   6.74613    0.0143  22319148  10820979  50773286
   6.74575   6.74599    0.0143  22297248  10812679  50744086
   6.74561   6.74585    0.0143  22322048  10821679  50789886
   6.74547   6.74571    0.0143  22286348  10809979  50724886
   6.74533   6.74556    0.0143  22306748  10815479  50776486
   6.74519   6.74542    0.0143  22288448  10811679  50737486
   6.74506   6.74527    0.0143  22292748  10809879  50746586
   6.74492   6.74512    0.0143  22299448  10811279  50758586
   6.74478   6.74498    0.0143  22263348  10798379  50697486
   6.74464   6.74483    0.0143  22290548  10812279  50757686
   6.74450   6.74468    0.0143  22250048  10793079  50680286
   6.74436   6.74453    0.0143  22262248  10798979  50702386
   6.74422   6.74439    0.0143  22248248  10792379  50677586
   6.74408   6.74424    0.0143  22266248  10799279  50707486
   6.74394   6.74410    0.0143  22266148  10799279  50710486
   6.74381   6.74396    0.0143  22253048  10798179  50712786
   6.74367   6.74381    0.0143  22268648  10804779  50719886
   6.74353   6.74367    0.0143  22235648  10786779  50650686
   6.74339   6.74353    0.0143  22269848  10807279  50748086
   6.74325   6.74339    0.0143  22269448  10808179  50758486
   6.74311   6.74325    0.0143  22318448  10829779  50863986
   6.74297   6.74312    0.0143  22327648  10833679  50885686
   6.74283   6.74298    0.0143  22330248  10836079  50902986
   6.74269   6.74285    0.0143  22354648  10849379  50961486
   6.74256   6.74271    0.0143  22330548  10837179  50904186
   6.74242   6.74258    0.0143  22370648  10854479  50980286
   6.74228   6.74245    0.0143  22348448  10843079  50947786
   6.74214   6.74232    0.0143  22377848  10860579  51021486
   6.74200   6.74219    0.0143  22368448  10854079  51006786
   6.74186   6.74205    0.0143  22373548  10857379  51006986
   6.74172   6.74192    0.0143  22369148  10860379  51026386
   6.74158   6.74179    0.0143  22361148  10854479  51011586
   6.74144   6.74166    0.0143  22383848  10864079  51056786
   6.74131   6.74153    0.0143  22362648  10858579  51021486
   6.74117   6.74140    0.0143  22387648  10867579  51072286
   6.74103   6.74126    0.0143  22364048  10856879  51007286
   6.74089   6.74113    0.0143  22381848  10865479  51065486
   6.74075   6.74099    0.0143  22368548  10862279  51053486
   6.74061   6.74085    0.0143  22370548  10862579  51052886
   6.74047   6.74071    0.0143  22391448  10871479  51103086
   6.74033   6.74057    0.0143  22360148  10857379  51039386
   6.74019   6.74042    0.0143  22383748  10867679  51092986
   6.74006   6.74028    0.0143  22352248  10853379  51022686
   6.73992   6.74014    0.0143  22370848  10865079  51077386
   6.73978   6.73999    0.0143  22358948  10856679  51056586
   6.73964   6.73985    0.0143  22374248  10863179  51080386
   6.73950   6.73971    0.0143  22363048  10859879  51065886
   6.73936   6.73956    0.0143  22355448  10856679  51060986
   6.73922   6.73942    0.0143  22346548  10853479  51047586
   6.73908   6.73928    0.0143  22324448  10842579  50999186
   6.73894   6.73914    0.0143  22353548  10858579  51059286
   6.73881   6.73900    0.0143  22333448  10845479  51012986
   6.73867   6.73887    0.0143  22351248  10859679  51075186
   6.73853   6.73873    0.0143  22323448  10845679  51028786
   6.73839   6.73859    0.0143  22314548  10840479  50991286
   6.73825   6.73846    0.0143  22324348  10847779  51031886
   6.73811   6.73833    0.0143  22305248  10836779  50982786
   6.73797   6.73819    0.0143  22337448  10853179  51061786
   6.73783   6.73806    0.0143  22318448  10841379  50998786
   6.73769   6.73792    0.0143  22331648  10848479  51045086
   6.73756   6.73779    0.0143  22294448  10831379  50957986
   6.73742   6.73766    0.0143  22303048  10835679  50987986
   6.73728   6.73752    0.0143  22293248  10833879  50978786
   6.73714   6.73739    0.0143  22285548  10830879  50949286
   6.73700   6.73725    0.0143  22294248  10834979  50993886
   6.73686   6.73711    0.0143  22263148  10823879  50929486
   6.73672   6.73698    0.0143  22284548  10827779  50964286
   6.73658   6.73684    0.0143  22251148  10815079  50887486
   6.73644   6.73670    0.0143  22253748  10816879  50921286
   6.73631   6.73656    0.0143  22235448  10810179  50881386
   6.73617   6.73642    0.0143  22222048  10802979  50857386
   6.73603   6.73627    0.0143  22212048  10798179  50824586
   6.73589   6.73613    0.0143  22204048  10791379  50810786
   6.73575   6.73599    0.0143  22227448  10803279  50857986
   6.73561   6.73585    0.0143  22176748  10781779  50752186
   6.73547   6.73571    0.0143  22186248  10788079  50791286
   6.73533   6.73556    0.0143  22149348  10768779  50717386
   6.73519   6.73541    0.0143  22170948  10778779  50750686
   6.73506   6.73526    0.0143  22175448  10782479  50774986
   6.73492   6.73512    0.0143  22164148  10778779  50767286
   6.73478   6.73497    0.0143  22191748  10788679  50811586
   6.73464   6.73482    0.0143  22163048  10775079  50741686
   6.73450   6.73467    0.0143  22201748  10793379  50830586
   6.73436   6.73452    0.0143  22207348  10797979  50860386
   6.73422   6.73437    0.0143  22236348  10814379  50926786
   6.73408   6.73422    0.0143  22246748  10817879  50955986
   6.73394   6.73408    0.0143  22235648  10816679  50952186
   6.73381   6.73394    0.0143  22249648  10818579  50966086
   6.73367   6.73379    0.0143  22234348  10815179  50951886
   6.73353   6.73365    0.0143  22270748  10832979  51050786
   6.73339   6.73351    0.0143  22265948  10828579  51030386
   6.73325   6.73337    0.0143  22274948  10835979  51045186
   6.73311   6.73323    0.0143  22243648  10825279  51005486
   6.73297   6.73309    0.0143  22264848  10830879  51029986
   6.73283   6.73296    0.0143  22257748  10827879  51014786
   6.73269   6.73282    0.0143  22268648  10833379  51044686
   6.73256   6.73269    0.0143  22285648  10840679  51086386
   6.73242   6.73256    0.0143  22263548  10833079  51054186
   6.73228   6.73242    0.0143  22275948  10835179  51074286
   6.73214   6.73229    0.0143  22258548  10827179  51039186
   6.73200   6.73216    0.0143  22278348  10836679  51086886
   6.73186   6.73203    0.0143  22254948  10830479  51054486
   6.73172   6.73189    0.0143  22265548  10834779  51081786
   6.73158   6.73176    0.0143  22260148  10831479  51073086
   6.73144   6.73163    0.0143  22249448  10828579  51048586
   6.73131   6.73150    0.0143  22264948  10834379  51083786
   6.73117   6.73136    0.0143  22237948  10823379  51036986
   6.73103   6.73123    0.0143  22268548  10837679  51106086
   6.73089   6.73109    0.0143  22231348  10817979  51014986
   6.73075   6.73095    0.0143  22234448  10820579  51017586
   6.73061   6.73081    0.0143  22227948  10820979  51012886
   6.73047   6.73067    0.0143  22237748  10822179  51038486
   6.73033   6.73053    0.0143  22256948  10830179  51082286
   6.73019   6.73038    0.0143  22211848  10814079  51001186
   6.73006   6.73023    0.0143  22223148  10819579  51023886
   6.72992   6.73009    0.0143  22181848  10801479  50953586
   6.72978   6.72995    0.0143  22209848  10813279  51011986
   6.72964   6.72980    0.0143  22204348  10810679  51000686
   6.72950   6.72966    0.0143  22214548  10812579  51009886
   6.72936   6.72951    0.0143  22206348  10809279  51001586
   6.72922   6.72937    0.0143  22171648  10796779  50935386
   6.72908   6.72923    0.0143  22182248  10801679  50970686
   6.72894   6.72909    0.0143  22153548  10790679  50907586
   6.72881   6.72895    0.0143  22185348  10806579  50989386
   6.72867   6.72881    0.0143  22166648  10794079  50942986
   6.72853   6.72867    0.0143  22171448  10797079  50954586
   6.72839   6.72854    0.0143  22149948  10783879  50889886
   6.72825   6.72840    0.0143  22129248  10778879  50870986
   6.72811   6.72827    0.0143  22140448  10783179  50885586
   6.72797   6.72813    0.0143  22125448  10773779  50848686
   6.72783   6.72800    0.0143  22128048  10778579  50877286
   6.72769   6.72787    0.0143  22082748  10759979  50783986
   6.72756   6.72773    0.0143  22091748  10763279  50803086
   6.72742   6.72760    0.0143  22066248  10749479  50754486
   6.72728   6.72746    0.0143  22084148  10757479  50777386
   6.72714   6.72733    0.0143  22062948  10751579  50745386
   6.72700   6.72719    0.0143  22028948  10732579  50670386
   6.72686   6.72705    0.0143  22032048  10734679  50677686
   6.72672   6.72692    0.0143  22004148  10722379  50634986
   6.72658   6.72678    0.0143  22038348  10736179  50706486
   6.72644   6.72664    0.0143  22016648  10725179  50644986
   6.72631   6.72650    0.0143  22024448  10730779  50677386
   6.72617   6.72636    0.0143  21995648  10720579  50624786
   6.72603   6.72622    0.0143  21992448  10717779  50633286
   6.72589   6.72608    0.0143  22019248  10729879  50673486
   6.72575   6.72593    0.0143  22029948  10738379  50723086
   6.72561   6.72579    0.0143  22079648  10762379  50826686
   6.72547   6.72565    0.0143  22059948  10750879  50777486
   6.72533   6.72550    0.0143  22095548  10770579  50872786
   6.72519   6.72536    0.0143  22070348  10757679  50826886
   6.72506   6.72521    0.0143  22082348  10761379  50850386
   6.72492   6.72506    0.0143  22096648  10770979  50880786
   6.72478   6.72492    0.0143  22097648  10771379  50880486
   6.72464   6.72477    0.0143  22118148  10782479  50940586
   6.72450   6.72462    0.0143  22087348  10769179  50879186
   6.72436   6.72447    0.0143  22110648  10778579  50934786
   6.72422   6.72433    0.0143  22077848  10764579  50865786
   6.72408   6.72418    0.0143  22111848  10779279  50945386
   6.72394   6.72403    0.0143  22120148  10779379  50935986
   6.72381   6.72389    0.0143  22102948  10778879  50934786
   6.72367   6.72375    0.0143  22103548  10778879  50936686
   6.72353   6.72361    0.0143  22083648  10767079  50900286
   6.72339   6.72347    0.0143  22107948  10781079  50963086
   6.72325   6.72333    0.0143  22084548  10770479  50916486
   6.72311   6.72319    0.0143  22114748  10786479  50992986
   6.72297   6.72306    0.0143  22090848  10775279  50936986
   6.72283   6.72292    0.0143  22082048  10768879  50915286
   6.72269   6.72279    0.0143  22072448  10766679  50915286
   6.72256   6.72265    0.0143  22069648  10763279  50901286
   6.72242   6.72252    0.0143  22095648  10781679  50967486
   6.72228   6.72239    0.0143  22067848  10765779  50905386
   6.72214   6.72226    0.0143  22081048  10771179  50938686
   6.72200   6.72213    0.0143  22039148  10750079  50829286
   6.72186   6.72199    0.0143  22048448  10753679  50870686
   6.72172   6.72186    0.0143  22037648  10750379  50833486
   6.72158   6.72173    0.0143  22043148  10755579  50863286
   6.72144   6.72160    0.0143  22040648  10755979  50860986
   6.72131   6.72147    0.0143  22018548  10741179  50808786
   6.72117   6.72134    0.0143  22023848  10743279  50804386
   6.72103   6.72120    0.0143  21997948  10730879  50763186
   6.72089   6.72107    0.0143  22025848  10745979  50843586
   6.72075   6.72093    0.0143  22004248  10733979  50781886
   6.72061   6.72079    0.0143  22001348  10736179  50789786
   6.72047   6.72064    0.0143  21982148  10723879  50745486
   6.72033   6.72050    0.0143  21959248  10717779  50715486
   6.72019   6.72036    0.0143  21986048  10729379  50750386
   6.72006   6.72021    0.0143  21965048  10718679  50725486
   6.71992   6.72007    0.0143  21984948  10731879  50780086
   6.71978   6.71992    0.0143  21933548  10706379  50661886
