  9809     SPring-8 14b2 
 Ir-L21_IrO2_Si  20.07.15 17:56 - 20.07.15 18:08
 IrO2                                                                            
 Ring :   8.0 GeV    99.6 mA -   99.5 mA
 Mono :   SI(311)       D=  1.63747 A    Initial angle= 17.83300 deg
 14b2      Transmission( 2)   Repetition=  1     Points= 6554
 Param file :                 angle axis (1)     Block =    1

 Block      Init-ang  final-ang     Step/deg     Time/s       Num
     1       17.64500  14.67000    -0.000460       0.10      6554
 Ortec( 0)     NDCH = 3
  Angle(c)  Angle(o)    time/s         2         3
      Mode         0         0         1         2
    Offset         0         0    55.800    60.800
  17.48630  17.50081     0.100      5032     22464
  17.48584  17.50030     0.100      5018     22408
  17.48538  17.49981     0.100      5036     22496
  17.48492  17.49933     0.100      5026     22452
  17.48446  17.49884     0.100      5024     22440
  17.48400  17.49834     0.100      5022     22442
  17.48354  17.49783     0.100      5022     22441
  17.48308  17.49733     0.100      5029     22474
  17.48262  17.49687     0.100      5023     22455
  17.48216  17.49642     0.100      5036     22504
  17.48170  17.49598     0.100      5013     22411
  17.48124  17.49554     0.100      5016     22435
  17.48078  17.49510     0.100      5016     22442
  17.48032  17.49470     0.100      5029     22495
  17.47986  17.49432     0.100      5027     22479
  17.47940  17.49395     0.100      5023     22476
  17.47894  17.49357     0.100      5025     22479
  17.47848  17.49318     0.100      5020     22457
  17.47802  17.49277     0.100      5018     22469
  17.47756  17.49237     0.100      5025     22497
  17.47710  17.49196     0.100      5014     22466
  17.47664  17.49153     0.100      5024     22501
  17.47618  17.49106     0.100      5023     22484
  17.47572  17.49055     0.100      5022     22488
  17.47526  17.49003     0.100      5025     22512
  17.47480  17.48955     0.100      5013     22466
  17.47434  17.48907     0.100      5014     22467
  17.47388  17.48858     0.100      5022     22499
  17.47342  17.48807     0.100      5021     22510
  17.47296  17.48757     0.100      5022     22516
  17.47250  17.48709     0.100      5009     22464
  17.47204  17.48663     0.100      5025     22526
  17.47158  17.48618     0.100      5008     22455
  17.47112  17.48574     0.100      5025     22546
  17.47066  17.48530     0.100      5009     22478
  17.47020  17.48488     0.100      5005     22468
  17.46974  17.48449     0.100      5004     22450
  17.46928  17.48412     0.100      4990     22398
  17.46882  17.48375     0.100      4979     22357
  17.46836  17.48336     0.100      4977     22347
  17.46790  17.48295     0.100      4961     22280
  17.46744  17.48254     0.100      4970     22311
  17.46698  17.48214     0.100      4975     22329
  17.46652  17.48172     0.100      4987     22405
  17.46606  17.48126     0.100      5013     22510
  17.46560  17.48075     0.100      5022     22570
  17.46514  17.48023     0.100      5040     22651
  17.46468  17.47974     0.100      5039     22650
  17.46422  17.47926     0.100      5044     22670
  17.46376  17.47878     0.100      5041     22675
  17.46330  17.47827     0.100      5036     22634
  17.46284  17.47776     0.100      5033     22643
  17.46238  17.47728     0.100      5017     22589
  17.46192  17.47681     0.100      5033     22649
  17.46146  17.47636     0.100      5027     22618
  17.46100  17.47592     0.100      5026     22622
  17.46054  17.47547     0.100      5041     22693
  17.46008  17.47504     0.100      5027     22629
  17.45962  17.47464     0.100      5038     22682
  17.45916  17.47426     0.100      5024     22628
  17.45870  17.47390     0.100      5029     22652
  17.45824  17.47352     0.100      5034     22693
  17.45778  17.47312     0.100      5034     22675
  17.45732  17.47272     0.100      5040     22722
  17.45686  17.47231     0.100      5034     22689
  17.45640  17.47190     0.100      5038     22711
  17.45594  17.47146     0.100      5031     22689
  17.45548  17.47098     0.100      5013     22615
  17.45502  17.47047     0.100      5031     22697
  17.45456  17.46997     0.100      5018     22640
  17.45410  17.46949     0.100      5032     22711
  17.45364  17.46901     0.100      5025     22663
  17.45318  17.46851     0.100      5032     22712
  17.45272  17.46800     0.100      5031     22720
  17.45226  17.46750     0.100      5016     22651
  17.45180  17.46702     0.100      5018     22666
  17.45134  17.46656     0.100      5029     22707
  17.45088  17.46611     0.100      5006     22614
  17.45042  17.46567     0.100      5032     22722
  17.44996  17.46523     0.100      5016     22670
  17.44950  17.46482     0.100      5031     22737
  17.44904  17.46443     0.100      5024     22693
  17.44858  17.46406     0.100      5007     22634
  17.44812  17.46368     0.100      5045     22807
  17.44766  17.46329     0.100      5003     22638
  17.44720  17.46289     0.100      5039     22778
  17.44674  17.46248     0.100      5029     22733
  17.44628  17.46208     0.100      5021     22716
  17.44582  17.46165     0.100      5047     22824
  17.44536  17.46119     0.100      5013     22683
  17.44490  17.46068     0.100      5039     22783
  17.44444  17.46017     0.100      5016     22693
  17.44398  17.45968     0.100      5026     22756
  17.44352  17.45919     0.100      5024     22747
  17.44306  17.45871     0.100      5007     22674
  17.44260  17.45820     0.100      5043     22840
  17.44214  17.45769     0.100      5020     22729
  17.44168  17.45720     0.100      5035     22831
  17.44122  17.45674     0.100      5029     22775
  17.44076  17.45629     0.100      5025     22767
  17.44030  17.45585     0.100      5037     22832
  17.43984  17.45541     0.100      5012     22713
  17.43938  17.45498     0.100      5028     22795
  17.43892  17.45458     0.100      5029     22787
  17.43846  17.45420     0.100      5024     22774
  17.43800  17.45383     0.100      5031     22814
  17.43754  17.45345     0.100      5017     22754
  17.43708  17.45305     0.100      5025     22802
  17.43662  17.45265     0.100      5010     22737
  17.43616  17.45225     0.100      5019     22784
  17.43570  17.45184     0.100      5032     22836
  17.43524  17.45140     0.100      5012     22742
  17.43478  17.45091     0.100      5029     22830
  17.43432  17.45040     0.100      5031     22824
  17.43386  17.44990     0.100      5014     22758
  17.43340  17.44942     0.100      5034     22852
  17.43294  17.44894     0.100      5012     22779
  17.43248  17.44845     0.100      5019     22810
  17.43202  17.44794     0.100      5011     22759
  17.43156  17.44745     0.100      5015     22794
  17.43110  17.44698     0.100      5009     22767
  17.43064  17.44654     0.100      5003     22742
  17.43018  17.44610     0.100      5025     22845
  17.42972  17.44565     0.100      5018     22821
  17.42926  17.44522     0.100      5013     22795
  17.42880  17.44480     0.100      5017     22805
  17.42834  17.44442     0.100      5004     22765
  17.42788  17.44406     0.100      5012     22800
  17.42742  17.44368     0.100      5005     22774
  17.42696  17.44329     0.100      5026     22876
  17.42650  17.44289     0.100      5009     22780
  17.42604  17.44249     0.100      5022     22848
  17.42558  17.44209     0.100      5017     22839
  17.42512  17.44167     0.100      5016     22828
  17.42466  17.44120     0.100      5006     22796
  17.42420  17.44070     0.100      4998     22761
  17.42374  17.44019     0.100      5001     22781
  17.42328  17.43970     0.100      5010     22810
  17.42282  17.43923     0.100      5001     22788
  17.42236  17.43874     0.100      5000     22795
  17.42190  17.43824     0.100      5019     22860
  17.42144  17.43773     0.100      5016     22865
  17.42098  17.43724     0.100      5007     22848
  17.42052  17.43677     0.100      5015     22861
  17.42006  17.43633     0.100      4999     22797
  17.41960  17.43588     0.100      5009     22852
  17.41914  17.43544     0.100      5010     22850
  17.41868  17.43501     0.100      5017     22877
