  9809     KEK-PF   BL9A
 Cu104           22.03.18 20:13 - 22.03.18 20:33 Serial#KEKPF-BL9A_029784
 CuO/BN, 8wt%
 Ring :   2.5 GeV   449.9 mA -  450.0 mA
 Mono :   Si(111)       D=  3.13551 A    Initial angle= 10.76970 deg
 BL9A      Transmission( 2)   Repetition=  1     Points=  726
 Param file : Cu002           energy axis(2)     Block =    7

 Block      Init-Eng  Final-Eng      Step/eV     Time/s       Num
     1        8475.30   8930.30         6.50       1.00        70
     2        8930.30   8945.30         1.00       1.00        15
     3        8945.30   9050.30         0.35       1.00       300
     4        9050.30   9080.30         1.00       1.00        30
     5        9080.30   9480.30         2.50       1.00       160
     6        9480.30  10080.30         6.00       1.00       100
     7       10080.30  10580.30        10.00       1.00        51
 Ortec(-1)     NDCH = 3
  Angle(c)  Angle(o)    time/s         2         3
      Mode         0         0         1         2
    Offset         0         0  7603.300  9349.900
  12.67330  12.67340      1.00    978228    667345
  12.67280  12.67270      1.00    973284    665078
  12.67230  12.67220      1.00    972729    665528
  12.67180  12.67180      1.00    974247    667498
  12.67130  12.67130      1.00    978525    671693
  12.67080  12.67090      1.00    982531    675588
  12.67030  12.67040      1.00    984862    678768
  12.66980  12.66990      1.00    985991    681170
  12.66930  12.66930      1.00    986801    683524
  12.66880  12.66880      1.00    986426    684822
  12.66830  12.66840      1.00    986353    686588
  12.66780  12.66770      1.00    984708    687753
  12.66730  12.66720      1.00    985052    689787
  12.66680  12.66680      1.00    984394    691238
  12.66630  12.66620      1.00    982946    693102
  12.66580  12.66590      1.00    978761    692751
  12.66530  12.66530      1.00    973637    693495
  12.66480  12.66490      1.00    971374    696233
  12.66430  12.66440      1.00    972595    702929
  12.66380  12.66380      1.00    976295    711902
  12.66330  12.66320      1.00    980187    720805
  12.66281  12.66280      1.00    982901    727513
  12.66231  12.66220      1.00    984991    735477
  12.66181  12.66190      1.00    986324    741629
  12.66131  12.66130      1.00    986400    749625
  12.66081  12.66080      1.00    985411    755478
  12.66031  12.66030      1.00    985026    761345
  12.65981  12.65990      1.00    984213    766676
  12.65931  12.65940      1.00    983850    772750
  12.65881  12.65880      1.00    983778    778735
  12.65831  12.65830      1.00    984009    783535
  12.65781  12.65770      1.00    984472    788199
  12.65731  12.65730      1.00    985045    791840
  12.65681  12.65680      1.00    984315    794897
  12.65631  12.65630      1.00    984251    797909
  12.65582  12.65580      1.00    984774    801196
  12.65532  12.65540      1.00    984778    803796
  12.65482  12.65480      1.00    984681    806608
  12.65432  12.65440      1.00    985214    809077
  12.65382  12.65380      1.00    985456    811384
  12.65332  12.65330      1.00    985430    812655
  12.65282  12.65270      1.00    984764    812994
  12.65232  12.65230      1.00    985471    813970
  12.65182  12.65180      1.00    985569    814010
  12.65133  12.65130      1.00    985759    813559
  12.65083  12.65090      1.00    985589    812310
  12.65033  12.65040      1.00    985672    810395
  12.64983  12.64990      1.00    985491    807592
  12.64933  12.64940      1.00    986104    804976
  12.64883  12.64890      1.00    986283    801529
  12.64833  12.64820      1.00    986423    797614
  12.64784  12.64780      1.00    985932    794338
  12.64734  12.64730      1.00    985332    790084
  12.64684  12.64680      1.00    986232    786564
  12.64634  12.64630      1.00    985596    781924
  12.64584  12.64590      1.00    986548    778698
  12.64535  12.64540      1.00    986398    773414
  12.64485  12.64490      1.00    986262    768045
  12.64435  12.64440      1.00    985540    762166
  12.64385  12.64380      1.00    985938    757219
  12.64335  12.64330      1.00    986111    753132
  12.64285  12.64280      1.00    985861    748743
  12.64236  12.64230      1.00    985977    744581
  12.64186  12.64190      1.00    985807    740153
  12.64136  12.64130      1.00    985735    735067
  12.64086  12.64090      1.00    984505    729916
  12.64037  12.64040      1.00    984548    724957
  12.63987  12.64000      1.00    984146    719577
  12.63937  12.63940      1.00    984538    713640
  12.63887  12.63890      1.00    984472    708495
  12.63837  12.63840      1.00    984416    703537
  12.63788  12.63770      1.00    982987    697534
  12.63738  12.63740      1.00    982684    694187
  12.63688  12.63680      1.00    980853    688091
  12.63638  12.63630      1.00    979307    683175
  12.63589  12.63590      1.00    977470    678303
  12.63539  12.63550      1.00    974737    672049
  12.63489  12.63490      1.00    973185    665749
  12.63440  12.63440      1.00    973458    661887
  12.63390  12.63400      1.00    975934    659696
  12.63340  12.63320      1.00    978831    657165
  12.63290  12.63290      1.00    979978    655837
  12.63241  12.63240      1.00    979756    652401
  12.63191  12.63190      1.00    980578    650005
  12.63141  12.63140      1.00    980943    647532
  12.63091  12.63100      1.00    980423    644800
  12.63042  12.63040      1.00    981109    642357
  12.62992  12.63000      1.00    981296    640452
  12.62942  12.62950      1.00    980983    637851
  12.62893  12.62890      1.00    979673    634821
  12.62843  12.62840      1.00    979192    632759
  12.62793  12.62790      1.00    979280    631127
  12.62744  12.62740      1.00    980241    630009
  12.62694  12.62680      1.00    980458    628514
  12.62644  12.62650      1.00    981047    627502
  12.62595  12.62590      1.00    980568    625217
  12.62545  12.62550      1.00    980250    623450
  12.62495  12.62500      1.00    980533    621751
  12.62446  12.62440      1.00    980086    619691
  12.62396  12.62400      1.00    980086    618321
  12.62346  12.62350      1.00    980284    616922
  12.62297  12.62280      1.00    979993    615382
  12.62247  12.62250      1.00    979462    614277
  12.62197  12.62200      1.00    979105    612989
  12.62148  12.62140      1.00    979006    612044
  12.62098  12.62110      1.00    979567    611833
  12.62049  12.62050      1.00    978862    610781
  12.61999  12.62010      1.00    978333    610160
